postcode,lat,lon
EX33 2NW,51.114545,-4.150952
BA1 7JY,51.409457,-2.307907
WF1 2PS,53.696652,-1.503619
FK1 4RU,55.996945,-3.8356
HD4 6DJ,53.634864,-1.783807
HX6 2QW,53.709745,-1.91232
TR3 6DU,50.262588,-5.110508
LA5 0RA,54.16843,-2.826928
SW19 2NB,51.414486,-0.184876
AL5 4EZ,51.823039,-0.354482
SG5 1PE,51.955748,-0.279078
DL17 9NH,54.699751,-1.514592
SO40 4XG,50.888387,-1.455362
PR2 6UA,53.782277,-2.670051
IV2 6EU,57.448437,-4.216901
TN24 0BS,51.133124,0.891994
S32 1AW,53.332336,-1.661951
EX34 7EZ,51.177064,-4.177841
CB4 3BX,52.215181,0.113848
B26 3XE,52.459715,-1.76832
DT6 4RN,50.693627,-2.695563
DG5 4LB,54.878398,-3.813276
DN36 5FS,53.49268,-0.033026
DL14 6JY,54.650443,-1.687222
HG2 0NB,53.988146,-1.548126
LA18 5EP,54.210396,-3.284151
RG27 8ZH,51.292854,-0.90815
PO38 1JH,50.594218,-1.210362
NP4 8BW,51.706481,-3.033443
EX23 9DQ,50.83111,-4.513966
CO9 1QF,51.933043,0.632283
TQ9 6UA,50.440268,-3.706129
TD9 8NN,55.456874,-2.680196
IV36 3XP,57.634465,-3.550807
CH5 3EP,53.189978,-3.041366
PO19 5DX,50.850349,-0.784028
ML11 0QD,55.555636,-3.846327
B29 5UW,52.442622,-1.978088
YO51 9RR,54.08341,-1.392267
DH9 9LG,54.878582,-1.756855
PE14 0HQ,52.618946,0.168277
NP7 8PF,51.877317,-2.864708
LA11 6SA,54.262687,-2.880997
LS25 6LG,53.796107,-1.241099
LE9 7FA,52.572896,-1.319354
CA27 0AR,54.487345,-3.588324
SR6 7NF,54.966569,-1.366074
EX14 4SY,50.847448,-3.202124
SY22 5HG,52.787438,-3.288882
PL13 2DB,50.352384,-4.455473
PE28 2BT,52.333961,-0.112754
B74 3BH,52.60061,-1.872746
NE3 1DD,55.006533,-1.621545
BS40 8UW,51.356332,-2.636306
PE28 4JZ,52.374048,-0.269823
LS26 0GL,53.746316,-1.504748
SW15 1DT,51.467533,-0.223589
EH4 6QD,55.973687,-3.304909
NR14 8LU,52.565555,1.299687
AB32 6PP,57.159782,-2.278133
CB25 9PF,52.273088,0.185978
WF16 9NF,53.710387,-1.661294
N13 5DQ,51.6151,-0.108634
CM13 1RS,51.630787,0.359194
TF10 8HE,52.77302,-2.399239
PO16 0UU,50.852469,-1.191308
ST7 3RY,53.113303,-2.290055
DD4 6PX,56.472087,-2.956571
EH54 9FN,55.867979,-3.537027
S43 1JQ,53.257246,-1.397883
G71 7PT,55.819475,-4.083942
G41 5DJ,55.847429,-4.306755
YO18 7JL,54.241481,-0.775337
G82 4JE,55.94792,-4.585425
NR30 2QD,52.606072,1.725621
EX7 0RA,50.593418,-3.461781
DG6 4DX,54.837047,-4.047693
PE23 5PQ,53.157063,0.145913
CR7 7LN,51.39629,-0.112858
NR31 6HD,52.55701,1.727488
SK14 3BH,53.451027,-2.055901
TQ13 8QT,50.646046,-3.759204
DN36 5FS,53.49268,-0.033026
TD6 9ND,55.6064,-2.729242
EH39 5HZ,56.050448,-2.734604
CA1 1HJ,54.894557,-2.927638
LS16 8NY,53.845841,-1.582838
AB42 1GW,57.509329,-1.808104
RG22 4ED,51.248112,-1.107967
WN3 5PZ,53.52142,-2.64715
TR20 9DQ,50.130376,-5.428714
SA2 0AA,51.617378,-3.966725
OL8 1SF,53.535009,-2.123604
SE11 5TL,51.481553,-0.11369
YO25 3PT,54.136577,-0.341775
PA73 6LY,56.482492,-6.128124
BL3 1JL,53.558758,-2.36749
CR2 8DY,51.3439,-0.065027
DD11 4UU,56.634524,-2.561772
SO31 8GJ,50.891115,-1.320451
CF23 9PN,51.512829,-3.152103
BN44 3QG,50.885491,-0.333055
RG12 9AB,51.412971,-0.747307
KY15 4ED,56.322222,-3.022137
GU2 7QH,51.233301,-0.597669
CB8 9UY,52.197829,0.37151
BD20 9DJ,53.931541,-1.994728
LE67 9TY,52.683163,-1.267554
LS20 8BE,53.868357,-1.708121
SL3 9JZ,51.484422,-0.572568
HG5 8JB,54.001847,-1.466363
CR0 6LA,51.380912,-0.074705
NW3 3DR,51.54067,-0.165252
ML10 6NU,55.684429,-4.068241
DT6 4RN,50.693627,-2.695563
LD3 0PT,51.96143,-3.271992
EH52 6GY,55.936471,-3.480077
PL6 8UE,50.411271,-4.0952
AB43 9LH,57.690836,-2.016575
DL11 7LB,54.471493,-1.779641
AB51 4ZY,57.295184,-2.391802
IP2 9JX,52.039368,1.11934
LE16 7EF,52.489217,-0.945448
EH3 5JX,55.966885,-3.200319
G45 9BJ,55.80298,-4.226895
SN16 9FQ,51.576652,-2.08308
EH41 4FA,55.947798,-2.796451
NE41 8HT,54.972792,-1.817384
N4 3PP,51.569425,-0.114052
SA70 7NT,51.665986,-4.727138
TQ9 6PW,50.427615,-3.639323
NR14 7QZ,52.573546,1.345001
PE25 2SE,53.149167,0.319118
EH47 8DE,55.844368,-3.636577
RH6 8JW,51.181793,-0.171238
RG4 8TS,51.480951,-0.962825
SA62 3RT,51.68396,-5.174756
WD6 4PX,51.66101,-0.284509
HR6 9BD,52.221955,-2.852735
SW6 6JS,51.480245,-0.219797
PE22 0NX,52.981619,0.04256
SA31 3DT,51.85921,-4.316238
RG10 0AG,51.474059,-0.862523
BA1 7TW,51.398144,-2.294219
LE9 6YZ,52.522598,-1.212274
BS21 7NN,51.436812,-2.853198
PO22 0AQ,50.834729,-0.626802
LN13 9RG,53.2665,0.268104
TN6 1RX,51.06126,0.149808
LA4 6QS,54.071317,-2.829627
SO31 6DG,50.860792,-1.284273
B5 7NN,52.462305,-1.896046
SA62 6PW,51.902808,-5.256334
BB10 2DZ,53.810049,-2.211795
KY1 2AL,56.121988,-3.139807
DG7 2PW,54.960974,-4.059426
SY1 3SJ,52.727154,-2.748527
BN43 5DS,50.831768,-0.277301
DN14 0GG,53.682809,-1.151024
EC1V 8BP,51.527844,-0.094044
LS17 8DU,53.853985,-1.529611
WC1X 0NG,51.528201,-0.115961
E7 9NP,51.541695,0.02238
SP1 3FN,51.089334,-1.777766
PL26 6JF,50.239185,-4.79372
DT4 7RG,50.629277,-2.452391
GU7 1AG,51.17535,-0.618148
LA2 0AJ,54.007752,-2.825137
BS1 6JR,51.447838,-2.606222
CB23 6ED,52.219886,-0.050236
EX31 3JJ,51.026288,-4.044527
LS6 2EE,53.816133,-1.564452
BA2 6NE,51.384975,-2.350621
TQ12 3HR,50.546564,-3.599784
PH1 3DB,56.417422,-3.450527
WS13 6ND,52.675717,-1.834548
CH63 3EQ,53.343533,-3.005466
B90 3PH,52.420405,-1.818337
E17 6LJ,51.586711,-0.03423
GU16 7EH,51.312202,-0.743668
N1 6ED,51.529347,-0.085709
CH3 7FB,53.186841,-2.842009
LA8 8LT,54.268692,-2.790164
BB6 7BW,53.7856,-2.399066
EH52 6FT,55.966298,-3.46971
LL35 0PA,52.54608,-4.052727
BS16 9BH,51.492645,-2.490072
TN24 0NF,51.137434,0.919101
DN9 1RT,53.492491,-0.772931
NE34 7TL,54.985037,-1.396286
RG10 9US,51.473477,-0.882364
PR4 5ZY,53.720284,-2.790194
OL15 9JX,53.650971,-2.097225
N14 4PX,51.640806,-0.142193
ST15 8SW,52.895952,-2.12778
PA23 8DA,55.954115,-4.923681
CF23 5HF,51.499304,-3.165014
LE9 6NS,52.526487,-1.218425
CB21 5HE,52.187207,0.216289
IV19 1QA,57.822131,-4.091402
FY5 5AP,53.86691,-2.998574
CA13 0RR,54.590766,-3.317591
HX6 4FD,53.667585,-1.947792
PO38 1SQ,50.593943,-1.205733
EX2 7DU,50.695184,-3.483364
LE15 7EU,52.720135,-0.783382
PE28 4DY,52.369328,-0.259446
PL3 6FG,50.387862,-4.109967
G74 3AW,55.773846,-4.161531
WA16 6QW,53.330948,-2.399703
EH15 2AN,55.951933,-3.112223
M14 6EH,53.442463,-2.228071
B8 2LB,52.491396,-1.826388
